Otazka_ID;Kategorie;Otázka;Naive_Odpoved;Hybrid_Odpoved;Graph_Odpoved;Poznamka
DPH-01;Fakta;Jaká je aktuální snížená sazba daně u novin a časopisů?;;;;
DPH-02;Definice;Kdo se pro účely zákona o DPH považuje za osobu povinnou k dani?;;;;
DPH-03;Struktura;Vyjmenuj plnění osvobozená od daně bez nároku na odpočet.;;;;
DPH-04;Odkazy;Jaké jsou podmínky pro nárok na odpočet daně?;;;;
DPH-05;Slang;Budu platit DPH, když si objednám mobil z Číny?;;;;
DPH-06;Logika;Počítá se mi do obratu pro DPH i prodej auta z podnikání?;;;;
DPH-07;Fakta;Jaká je aktuální hranice obratu pro povinnou registraci k DPH?;;;;
DPH-08;Definice;Co se v zákoně přesně rozumí pojmem ekonomická činnost?;;;;
DPH-09;Struktura;Jaký je rozdíl mezi náležitostmi kontrolního a souhrnného hlášení?;;;;
DPH-10;Odkazy;Podle čeho se určuje místo plnění u služeb?;;;;
DPH-11;Slang;Co když mi stát dluží na dani, kdy mi pošlou vratku?;;;;
DPH-12;Logika;Proč musím přiznat daň už při přijetí zálohy, i když zboží dodám až za měsíc?;;;;
DP-01;Fakta;Jaká je výše slevy na zastavenou exekuci v roce 2024?;;;;
DP-02;Definice;Kdo je považován za nerezidenta a jaké příjmy u nás musí zdaňovat?;;;;
DP-03;Struktura;Vyjmenuj druhy bezúplatných příjmů osvobozených od daně.;;;;
DP-04;Odkazy;Jaké jsou podmínky pro odpočet darů?;;;;
DP-05;Slang;Můžu si odečíst školku z daní?;;;;
DP-06;Logika;Platí limit pro paušální daň i pro někoho, kdo má příjmy z pronájmu nad 50 000 Kč?;;;;
DP-07;Fakta;Kolik činí měsíční paušální daň pro první pásmo?;;;;
DP-08;Definice;Co jsou to nepeněžní příjmy a jak se určuje jejich hodnota pro daň?;;;;
DP-09;Struktura;Jaký je vztah mezi základem daně a položkami, které ho mohou snížit?;;;;
DP-10;Odkazy;Jak tento zákon pracuje s definicí příbuzných osob z jiných zákonů?;;;;
DP-11;Slang;Můžu si dát do nákladů oběd s klientem?;;;;
DP-12;Logika;Proč se mi daňová ztráta z podnikání nemůže odečíst od příjmů ze zaměstnání?;;;;
DR-01;Fakta;Jaká je standardní lhůta pro podání odvolání proti rozhodnutí správce daně?;;;;
DR-02;Definice;Kdo všechno se považuje za daňový subjekt?;;;;
DR-03;Struktura;Jaká jsou práva a povinnosti zúčastněných osob na správě daní?;;;;
DR-04;Odkazy;Jak probíhá dokazování?;;;;
DR-05;Slang;Co se stane, když něco nepošlu na finanční úřad?;;;;
DR-06;Logika;Za jakých podmínek lze požádat o navrácení lhůty v předešlý stav, pokud jsem ji zmeškal?;;;;
DR-07;Fakta;Kolik dní mám k vyjádření k výsledku kontrolního zjištění po kontrole?;;;;
DR-08;Definice;Kdo je to osoba zúčastněná na správě daní a jaká má práva?;;;;
DR-09;Struktura;Jaký je rozdíl mezi odvoláním a žádostí o přezkum rozhodnutí?;;;;
DR-10;Odkazy;Jak daňový řád souvisí s exekucemi při vymáhání starých nedoplatků?;;;;
DR-11;Slang;Co se stane, když mi přijde obsílka do datovky a já ji neotevřu?;;;;
DR-12;Logika;Proč může úřad prodloužit lhůtu pro kontrolu, i když už měla podle plánu skončit?;;;;
DNV-01;Fakta;Do jakého data se musí podat přiznání k dani z nemovitosti?;;;;
DNV-02;Definice;Co se podle zákona považuje za stavební pozemek?;;;;
DNV-03;Struktura;Jak obecní koeficient ovlivňuje výši daně?;;;;
DNV-04;Odkazy;Jak tato daň souvisí s údaji v katastru nemovitostí?;;;;
DNV-05;Slang;Musím platit daň z domu, i když v něm nebydlím?;;;;
DNV-06;Logika;Proč se platí jiná daň za pole a jiná za stavební pozemek?;;;;
DNV-07;Fakta;Který den v roce je rozhodující pro to, kdo platí daň?;;;;
DNV-08;Definice;Jaký je rozdíl mezi pozemkem a zpevněnou plochou?;;;;
DNV-09;Struktura;Jak se liší sazba daně pro obytný dům a pro garáž?;;;;
DNV-10;Odkazy;Kde zákon mluví o osvobození pro stavby určené k ochrané přírody?;;;;
DNV-11;Slang;Jak nahlásit, že jsem přistavěl k chalupě kůlnu?;;;;
DNV-12;Logika;Jak se změní moje daň, když z bytu udělám kancelář?;;;;
SP-01;Fakta;Jaká je aktuální procentuální sazba pojistného pro OSVČ?;;;;
SP-02;Definice;Co je to vyměřovací základ a jak se vypočítá?;;;;
SP-03;Struktura;Existuje nějaký strop, nad který se pojistné neplatí?;;;;
SP-04;Odkazy;Jak zákon o pojistném odkazuje na výpočet daně z příjmů?;;;;
SP-05;Slang;Kolik mám platit na sociální, když začínám podnikat?;;;;
